         28972 function calls (28869 primitive calls) in 0.101 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1153    0.000    0.000    0.000    0.000 {method 'rfind' of 'bytes' objects}
     1447    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        6    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/psutil/_common.py:451(wrapper)
     1451    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/memory_profiler.py:229(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/astropy/units/core.py:618(to)
        1    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1524(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1495(_get_spec)
        1    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/memory_profiler.py:117(_get_memory)
        5    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/psutil/_pslinux.py:1711(_parse_stat_file)
     13/3    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/re/_compiler.py:37(_compile)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
        1    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/memory_profiler.py:132(ps_util_tool)
     1448    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/glob.py:230(_ishidden)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/json/__init__.py:274(load)
        3    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/re/_compiler.py:516(_compile_info)
        1    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/multiprocessing/process.py:142(join)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        5    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/psutil/_common.py:810(bcat)
     1453    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/multiprocessing/popen_fork.py:36(wait)
        5    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/site-packages/psutil/_common.py:793(cat)
        1    0.000    0.000    0.000    0.000 /users/PCON0003/klaliotis/.conda/envs/pyimcom2/lib/python3.12/multiprocessing/connection.py:1122(wait)
